"day","count"
1990-07-03,0
1990-07-08,0
1990-07-13,0
1990-07-17,500
1990-07-19,150
1990-07-25,6000
1990-07-31,700
1990-08-03,24500
1990-08-07,8000
1990-08-09,6500
1990-08-15,15310
1990-08-21,600
1990-08-24,17500
1990-08-31,13500
1990-09-05,4200
1990-09-12,2500
